Time,Heat value
10/11/21 10:20,2380.2178
10/11/21 10:25,2409.734
10/11/21 10:30,2436.9456
10/11/21 10:35,2445.0547
10/11/21 10:40,2453.229
10/11/21 10:45,2457.852
10/11/21 10:50,2459.0593
10/11/21 10:55,2444.9504
10/11/21 11:00,2402.5718
10/11/21 11:05,2365.3105
10/11/21 11:10,2339.352
10/11/21 11:15,2356.8015
10/11/21 11:20,2376.2327
10/11/21 11:25,2392.2773
10/11/21 11:30,2421.1003
10/11/21 11:35,2456.5342
10/11/21 11:40,2468.958
10/11/21 11:45,2431.8054
10/11/21 11:50,2397.2695
10/11/21 11:55,2364.2666
10/11/21 12:00,2361.4734
10/11/21 12:05,2359.865
10/11/21 12:10,2357.093
10/11/21 12:15,2363.5427
10/11/21 12:20,2387.1912
10/11/21 12:25,2350.3142
10/11/21 12:30,2299.391
10/11/21 12:35,2257.1306
10/11/21 12:40,2212.4822
10/11/21 12:45,2262.585
10/11/21 12:50,2344.8474
10/11/21 12:55,2415.8152
10/11/21 13:00,2473.0715
10/11/21 13:05,2504.8022
10/11/21 13:10,2545.8677
10/11/21 13:15,2573.672
10/11/21 13:20,2630.887
10/11/21 13:25,2673.305
10/11/21 13:30,2764.7368
10/11/21 13:35,3241.3533
10/11/21 13:40,3818.864
10/11/21 13:45,3844.1584
10/11/21 13:50,3769.5266
10/11/21 13:55,3699.7205
10/11/21 14:00,3754.732
10/11/21 14:05,3889.3254
10/11/21 14:20,3999.8928
10/11/21 14:25,3932.664
10/11/21 14:30,3852.178
10/11/21 14:35,3757.7224
10/11/21 14:40,3644.709
10/11/21 14:45,3519.1548
10/11/21 14:50,3389.9834
10/11/21 14:55,3292.526
10/11/21 15:00,3284.1943
10/11/21 15:05,3278.7505
10/11/21 15:10,3239.7556
10/11/21 15:15,3175.7231
10/11/21 15:20,3110.409
10/11/21 15:25,3079.6392
10/11/21 15:30,3061.729
10/11/21 15:35,3047.735
10/11/21 15:40,3031.3652
10/11/21 15:45,3009.4019
10/11/21 15:50,2984.4983
10/11/21 15:55,2981.4712
10/11/21 16:00,2987.065
10/11/21 16:05,2988.0596
10/11/21 16:10,2936.6812
10/11/21 16:15,2888.6282
10/11/21 16:20,2846.2993
10/11/21 16:25,2802.2307
10/11/21 16:30,2791.2805
10/11/21 16:35,2837.156
10/11/21 16:40,2872.1387
10/11/21 16:45,2904.8813
10/11/21 16:50,2920.697
10/11/21 16:55,2857.1265
10/11/21 17:00,2778.2034
10/11/21 17:05,2705.3274
10/11/21 17:10,2670.5242
10/11/21 17:15,2659.0913
10/11/21 17:20,2639.935
10/11/21 17:25,2590.733
10/11/21 17:30,2543.275
10/11/21 17:35,2485.8677
10/11/21 17:40,2422.6467
10/11/21 17:45,2369.064
10/11/21 17:50,2327.2285
10/11/21 17:55,2296.307
10/11/21 18:00,2262.0461
10/11/21 18:05,2232.1855
10/11/21 18:10,2200.9028
10/11/21 18:15,2274.62
10/11/21 18:20,2399.3164
10/11/21 18:25,2396.8975
10/11/21 18:30,2359.664
10/11/21 18:35,2319.1763
10/11/21 18:40,2279.814
10/11/21 18:45,2243.6973
10/11/21 18:50,2208.2976
10/11/21 18:55,2236.9688
10/11/21 19:00,2259.2766
10/11/21 19:05,2281.0913
10/11/21 19:10,2308.874
10/11/21 19:15,2362.5767
10/11/21 19:20,2410.7883
10/11/21 19:25,2459.3142
10/11/21 19:30,2489.9778
10/11/21 19:35,2505.48
10/11/21 19:40,2514.0225
10/11/21 19:45,2473.0044
10/11/21 19:50,2439.6338
10/11/21 19:55,2395.059
10/11/21 20:00,2347.2834
10/11/21 20:05,2301.0183
10/11/21 20:10,2311.2876
10/11/21 20:15,2266.3538
10/11/21 20:20,2219.7922
10/11/21 20:25,2201.868
10/11/21 20:30,2203.896
10/11/21 20:35,2205.4446
10/11/21 20:40,2210.1697
10/11/21 20:45,2212.9045
10/11/21 20:50,2217.6057
10/11/21 20:55,2224.3245
10/11/21 21:00,2253.5674
10/11/21 21:05,2302.0217
10/11/21 21:10,2310.0989
10/11/21 21:15,2276.1653
10/11/21 21:20,2231.352
10/11/21 21:25,2190.5457
10/11/21 21:30,2149.1155
10/11/21 21:35,2108.5764
10/11/21 21:40,2068.7288
10/11/21 21:45,2136.674
10/11/21 21:50,2297.0818
10/11/21 21:55,2427.01
10/11/21 22:00,2541.9126
10/11/21 22:05,2567.522
10/11/21 22:10,2590.795
10/11/21 22:15,2605.7292
10/11/21 22:20,2584.0237
10/11/21 22:25,2561.8567
10/11/21 22:30,2541.3796
10/11/21 22:35,2542.7554
10/11/21 22:40,2579.2812
10/11/21 22:45,2611.2886
10/11/21 22:50,2623.7358
10/11/21 22:55,2598.7336
10/11/21 23:00,2530.6257
10/11/21 23:05,2466.5798
10/11/21 23:10,2443.2744
10/11/21 23:15,2417.106
10/11/21 23:20,2367.4048
10/11/21 23:25,2319.881
10/11/21 23:30,2286.903
10/11/21 23:35,2254.9556
10/11/21 23:40,2212.4436
10/11/21 23:45,2169.5828
10/11/21 23:50,2129.002
10/11/21 23:55,2092.128
10/12/21 0:00,2057.6477
10/12/21 0:05,2024.9749
10/12/21 0:10,1995.303
10/12/21 0:15,2124.8757
10/12/21 0:20,2319.1074
10/12/21 0:25,2289.9768
10/12/21 0:30,2239.8433
10/12/21 0:35,2202.4417
10/12/21 0:40,2191.015
10/12/21 0:45,2174.8525
10/12/21 0:50,2159.5835
10/12/21 0:55,2155.808
10/12/21 1:00,2155.7686
10/12/21 1:05,2153.3186
10/12/21 1:10,2136.0059
10/12/21 1:15,2114.9287
10/12/21 1:20,2098.2295
10/12/21 1:25,2128.4824
10/12/21 1:30,2179.0134
10/12/21 1:35,2225.5251
10/12/21 1:40,2268.7034
10/12/21 1:45,2308.5815
10/12/21 1:50,2387.9348
10/12/21 1:55,2384.8484
10/12/21 2:00,2328.934
10/12/21 2:05,2276.7866
10/12/21 2:10,2257.8755
10/12/21 2:15,2260.0342
10/12/21 2:20,2223.4854
10/12/21 2:25,2189.1035
10/12/21 2:30,2158.526
10/12/21 2:35,2128.128
10/12/21 2:40,2120.0234
10/12/21 2:45,2173.169
10/12/21 2:50,2181.6575
10/12/21 2:55,2140.165
10/12/21 3:00,2095.6348
10/12/21 3:05,2061.3733
10/12/21 3:10,2028.2177
10/12/21 3:15,2024.21
10/12/21 3:20,2110.8867
10/12/21 3:25,2187.103
10/12/21 3:30,2259.1196
10/12/21 3:35,2299.5898
10/12/21 3:40,2281.7756
10/12/21 3:45,2236.2139
10/12/21 3:50,2188.4539
10/12/21 3:55,2170.307
10/12/21 4:00,2188.6091
10/12/21 4:05,2211.0933
10/12/21 4:10,2242.9902
10/12/21 4:15,2265.8672
10/12/21 4:20,2294.3823
10/12/21 4:25,2322.5984
10/12/21 4:30,2351.5442
10/12/21 4:35,2388.97
10/12/21 4:40,2429.2405
10/12/21 4:45,2365.2236
10/12/21 4:50,2308.8782
10/12/21 4:55,2255.222
10/12/21 5:00,2225.1755
10/12/21 5:05,2215.8765
10/12/21 5:10,2202.77
10/12/21 5:15,2188.852
10/12/21 5:20,2175.472
10/12/21 5:25,2161.7888
10/12/21 5:30,2146.1707
10/12/21 5:35,2136.5483
10/12/21 5:40,2242.461
10/12/21 5:45,2238.8164
10/12/21 5:50,2189.1875
10/12/21 5:55,2144.442
10/12/21 6:00,2124.609
10/12/21 6:05,2150.938
10/12/21 6:10,2170.3884
10/12/21 6:15,2189.2097
10/12/21 6:20,2201.1099
10/12/21 6:25,2235.637
10/12/21 6:30,2283.776
10/12/21 6:35,2231.2493
10/12/21 6:40,2182.0706
10/12/21 6:45,2156.8184
10/12/21 6:50,2135.2285
10/12/21 6:55,2107.037
10/12/21 7:00,2082.498
10/12/21 7:05,2060.2817
10/12/21 7:10,2039.2834
10/12/21 7:15,2025.1924
10/12/21 7:20,2095.9473
